week,day_number,day_name,portion_transliteration,title_english,title_hebrew,torah_daily_reading,sefaria_bilingual_link,weekly_torah_reading,haftarah_prophets_writings,new_testament,source_note
1,1,Sunday,Bereshit,In the Beginning,בראשית,Genesis 1:1-2:3,https://www.sefaria.org/Genesis%201%3A1-2%3A3?lang=bi,Genesis  1:1-6:8,Isa 42:5-43:11,John 1:1-14,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
1,2,Monday,Bereshit,In the Beginning,בראשית,Genesis 2:4-2:19,https://www.sefaria.org/Genesis%202%3A4-2%3A19?lang=bi,Genesis  1:1-6:8,Isa 42:5-43:11,John 1:1-14,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
1,3,Tuesday,Bereshit,In the Beginning,בראשית,Genesis 2:20-3:21,https://www.sefaria.org/Genesis%202%3A20-3%3A21?lang=bi,Genesis  1:1-6:8,Isa 42:5-43:11,John 1:1-14,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
1,4,Wednesday,Bereshit,In the Beginning,בראשית,Genesis 3:22-4:18,https://www.sefaria.org/Genesis%203%3A22-4%3A18?lang=bi,Genesis  1:1-6:8,Isa 42:5-43:11,John 1:1-14,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
1,5,Thursday,Bereshit,In the Beginning,בראשית,Genesis 4:19-4:22,https://www.sefaria.org/Genesis%204%3A19-4%3A22?lang=bi,Genesis  1:1-6:8,Isa 42:5-43:11,John 1:1-14,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
1,6,Friday,Bereshit,In the Beginning,בראשית,Genesis 4:23-5:24,https://www.sefaria.org/Genesis%204%3A23-5%3A24?lang=bi,Genesis  1:1-6:8,Isa 42:5-43:11,John 1:1-14,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
1,7,Saturday,Bereshit,In the Beginning,בראשית,Genesis 5:25-6:8,https://www.sefaria.org/Genesis%205%3A25-6%3A8?lang=bi,Genesis  1:1-6:8,Isa 42:5-43:11,John 1:1-14,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
2,1,Sunday,Noach,Noah,נח,Genesis 6:9-6:22,https://www.sefaria.org/Genesis%206%3A9-6%3A22?lang=bi,Genesis  6:9-11:32,Isa 40:27-41:16,Mt 24:36-46; 1 Pet 3:18-22,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
2,2,Monday,Noach,Noah,נח,Genesis 7:1-7:16,https://www.sefaria.org/Genesis%207%3A1-7%3A16?lang=bi,Genesis  6:9-11:32,Isa 40:27-41:16,Mt 24:36-46; 1 Pet 3:18-22,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
2,3,Tuesday,Noach,Noah,נח,Genesis 7:17-8:14,https://www.sefaria.org/Genesis%207%3A17-8%3A14?lang=bi,Genesis  6:9-11:32,Isa 40:27-41:16,Mt 24:36-46; 1 Pet 3:18-22,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
2,4,Wednesday,Noach,Noah,נח,Genesis 8:15-9:7,https://www.sefaria.org/Genesis%208%3A15-9%3A7?lang=bi,Genesis  6:9-11:32,Isa 40:27-41:16,Mt 24:36-46; 1 Pet 3:18-22,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
2,5,Thursday,Noach,Noah,נח,Genesis 9:8-9:17,https://www.sefaria.org/Genesis%209%3A8-9%3A17?lang=bi,Genesis  6:9-11:32,Isa 40:27-41:16,Mt 24:36-46; 1 Pet 3:18-22,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
2,6,Friday,Noach,Noah,נח,Genesis 9:18-10:32,https://www.sefaria.org/Genesis%209%3A18-10%3A32?lang=bi,Genesis  6:9-11:32,Isa 40:27-41:16,Mt 24:36-46; 1 Pet 3:18-22,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
2,7,Saturday,Noach,Noah,נח,Genesis 11:1-11:32,https://www.sefaria.org/Genesis%2011%3A1-11%3A32?lang=bi,Genesis  6:9-11:32,Isa 40:27-41:16,Mt 24:36-46; 1 Pet 3:18-22,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
3,1,Sunday,Lech-Lecha,Go Forth,לך לך,Genesis 12:1-12:13,https://www.sefaria.org/Genesis%2012%3A1-12%3A13?lang=bi,Genesis  12:1-17:27,II Ki 4:1-37,Rom 4:1-25,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
3,2,Monday,Lech-Lecha,Go Forth,לך לך,Genesis 12:14-13:4,https://www.sefaria.org/Genesis%2012%3A14-13%3A4?lang=bi,Genesis  12:1-17:27,II Ki 4:1-37,Rom 4:1-25,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
3,3,Tuesday,Lech-Lecha,Go Forth,לך לך,Genesis 13:5-13:18,https://www.sefaria.org/Genesis%2013%3A5-13%3A18?lang=bi,Genesis  12:1-17:27,II Ki 4:1-37,Rom 4:1-25,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
3,4,Wednesday,Lech-Lecha,Go Forth,לך לך,Genesis 14:1-14:20,https://www.sefaria.org/Genesis%2014%3A1-14%3A20?lang=bi,Genesis  12:1-17:27,II Ki 4:1-37,Rom 4:1-25,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
3,5,Thursday,Lech-Lecha,Go Forth,לך לך,Genesis 14:21-15:6,https://www.sefaria.org/Genesis%2014%3A21-15%3A6?lang=bi,Genesis  12:1-17:27,II Ki 4:1-37,Rom 4:1-25,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
3,6,Friday,Lech-Lecha,Go Forth,לך לך,Genesis 15:7-17:6,https://www.sefaria.org/Genesis%2015%3A7-17%3A6?lang=bi,Genesis  12:1-17:27,II Ki 4:1-37,Rom 4:1-25,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
3,7,Saturday,Lech-Lecha,Go Forth,לך לך,Genesis 17:7-17:27,https://www.sefaria.org/Genesis%2017%3A7-17%3A27?lang=bi,Genesis  12:1-17:27,II Ki 4:1-37,Rom 4:1-25,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
4,1,Sunday,Vayera,He Appeared,וירא,Genesis 18:1-18:14,https://www.sefaria.org/Genesis%2018%3A1-18%3A14?lang=bi,Genesis  18:1-22:24,I Ki 1:1-31,Lk 1:26-38; 24:36-53; 2 Pet. 2:4-11,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
4,2,Monday,Vayera,He Appeared,וירא,Genesis 18:15-18:33,https://www.sefaria.org/Genesis%2018%3A15-18%3A33?lang=bi,Genesis  18:1-22:24,I Ki 1:1-31,Lk 1:26-38; 24:36-53; 2 Pet. 2:4-11,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
4,3,Tuesday,Vayera,He Appeared,וירא,Genesis 19:1-19:20,https://www.sefaria.org/Genesis%2019%3A1-19%3A20?lang=bi,Genesis  18:1-22:24,I Ki 1:1-31,Lk 1:26-38; 24:36-53; 2 Pet. 2:4-11,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
4,4,Wednesday,Vayera,He Appeared,וירא,Genesis 19:21-21:4,https://www.sefaria.org/Genesis%2019%3A21-21%3A4?lang=bi,Genesis  18:1-22:24,I Ki 1:1-31,Lk 1:26-38; 24:36-53; 2 Pet. 2:4-11,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
4,5,Thursday,Vayera,He Appeared,וירא,Genesis 21:5-21:21,https://www.sefaria.org/Genesis%2021%3A5-21%3A21?lang=bi,Genesis  18:1-22:24,I Ki 1:1-31,Lk 1:26-38; 24:36-53; 2 Pet. 2:4-11,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
4,6,Friday,Vayera,He Appeared,וירא,Genesis 21:22-21:34,https://www.sefaria.org/Genesis%2021%3A22-21%3A34?lang=bi,Genesis  18:1-22:24,I Ki 1:1-31,Lk 1:26-38; 24:36-53; 2 Pet. 2:4-11,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
4,7,Saturday,Vayera,He Appeared,וירא,Genesis 22:1-22:24,https://www.sefaria.org/Genesis%2022%3A1-22%3A24?lang=bi,Genesis  18:1-22:24,I Ki 1:1-31,Lk 1:26-38; 24:36-53; 2 Pet. 2:4-11,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
5,1,Sunday,Chayei Sara,Life of Sarah,חיי שרה,Genesis 23:1-23:16,https://www.sefaria.org/Genesis%2023%3A1-23%3A16?lang=bi,Genesis  23:1-25:18,Hos 12:13-14:10,Mt 1:1-17;,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal; Transliteration standardized from PWA Chayei Sarah to Hebcal Chayei Sara
5,2,Monday,Chayei Sara,Life of Sarah,חיי שרה,Genesis 23:17-24:9,https://www.sefaria.org/Genesis%2023%3A17-24%3A9?lang=bi,Genesis  23:1-25:18,Hos 12:13-14:10,Mt 1:1-17;,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal; Transliteration standardized from PWA Chayei Sarah to Hebcal Chayei Sara
5,3,Tuesday,Chayei Sara,Life of Sarah,חיי שרה,Genesis 24:10-24:26,https://www.sefaria.org/Genesis%2024%3A10-24%3A26?lang=bi,Genesis  23:1-25:18,Hos 12:13-14:10,Mt 1:1-17;,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal; Transliteration standardized from PWA Chayei Sarah to Hebcal Chayei Sara
5,4,Wednesday,Chayei Sara,Life of Sarah,חיי שרה,Genesis 24:27-24:52,https://www.sefaria.org/Genesis%2024%3A27-24%3A52?lang=bi,Genesis  23:1-25:18,Hos 12:13-14:10,Mt 1:1-17;,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal; Transliteration standardized from PWA Chayei Sarah to Hebcal Chayei Sara
5,5,Thursday,Chayei Sara,Life of Sarah,חיי שרה,Genesis 24:53-24:67,https://www.sefaria.org/Genesis%2024%3A53-24%3A67?lang=bi,Genesis  23:1-25:18,Hos 12:13-14:10,Mt 1:1-17;,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal; Transliteration standardized from PWA Chayei Sarah to Hebcal Chayei Sara
5,6,Friday,Chayei Sara,Life of Sarah,חיי שרה,Genesis 25:1-25:11,https://www.sefaria.org/Genesis%2025%3A1-25%3A11?lang=bi,Genesis  23:1-25:18,Hos 12:13-14:10,Mt 1:1-17;,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal; Transliteration standardized from PWA Chayei Sarah to Hebcal Chayei Sara
5,7,Saturday,Chayei Sara,Life of Sarah,חיי שרה,Genesis 25:12-25:18,https://www.sefaria.org/Genesis%2025%3A12-25%3A18?lang=bi,Genesis  23:1-25:18,Hos 12:13-14:10,Mt 1:1-17;,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal; Transliteration standardized from PWA Chayei Sarah to Hebcal Chayei Sara
6,1,Sunday,Toldot,Generations,תולדות,Genesis 25:19-26:5,https://www.sefaria.org/Genesis%2025%3A19-26%3A5?lang=bi,Genesis  25:19-28:9,Obadiah 1:1-21,1 Cor 15:50-57,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal; Transliteration standardized from Toledot to Toldot; Hebrew niqqud removed
6,2,Monday,Toldot,Generations,תולדות,Genesis 26:6-26:12,https://www.sefaria.org/Genesis%2026%3A6-26%3A12?lang=bi,Genesis  25:19-28:9,Obadiah 1:1-21,1 Cor 15:50-57,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal; Transliteration standardized from Toledot to Toldot; Hebrew niqqud removed
6,3,Tuesday,Toldot,Generations,תולדות,Genesis 26:13-26:22,https://www.sefaria.org/Genesis%2026%3A13-26%3A22?lang=bi,Genesis  25:19-28:9,Obadiah 1:1-21,1 Cor 15:50-57,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal; Transliteration standardized from Toledot to Toldot; Hebrew niqqud removed
6,4,Wednesday,Toldot,Generations,תולדות,Genesis 26:23-26:29,https://www.sefaria.org/Genesis%2026%3A23-26%3A29?lang=bi,Genesis  25:19-28:9,Obadiah 1:1-21,1 Cor 15:50-57,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal; Transliteration standardized from Toledot to Toldot; Hebrew niqqud removed
6,5,Thursday,Toldot,Generations,תולדות,Genesis 26:30-27:27,https://www.sefaria.org/Genesis%2026%3A30-27%3A27?lang=bi,Genesis  25:19-28:9,Obadiah 1:1-21,1 Cor 15:50-57,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal; Transliteration standardized from Toledot to Toldot; Hebrew niqqud removed
6,6,Friday,Toldot,Generations,תולדות,Genesis 27:28-28:4,https://www.sefaria.org/Genesis%2027%3A28-28%3A4?lang=bi,Genesis  25:19-28:9,Obadiah 1:1-21,1 Cor 15:50-57,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal; Transliteration standardized from Toledot to Toldot; Hebrew niqqud removed
6,7,Saturday,Toldot,Generations,תולדות,Genesis 28:5-28:9,https://www.sefaria.org/Genesis%2028%3A5-28%3A9?lang=bi,Genesis  25:19-28:9,Obadiah 1:1-21,1 Cor 15:50-57,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal; Transliteration standardized from Toledot to Toldot; Hebrew niqqud removed
7,1,Sunday,Vayetzei,He Went Out,ויצא,Genesis 28:10-28:22,https://www.sefaria.org/Genesis%2028%3A10-28%3A22?lang=bi,Genesis  28:10-32:3,Amos 2:6-3:8,Rom 9:1-31,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
7,2,Monday,Vayetzei,He Went Out,ויצא,Genesis 29:1-29:17,https://www.sefaria.org/Genesis%2029%3A1-29%3A17?lang=bi,Genesis  28:10-32:3,Amos 2:6-3:8,Rom 9:1-31,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
7,3,Tuesday,Vayetzei,He Went Out,ויצא,Genesis 29:18-30:13,https://www.sefaria.org/Genesis%2029%3A18-30%3A13?lang=bi,Genesis  28:10-32:3,Amos 2:6-3:8,Rom 9:1-31,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
7,4,Wednesday,Vayetzei,He Went Out,ויצא,Genesis 30:14-30:27,https://www.sefaria.org/Genesis%2030%3A14-30%3A27?lang=bi,Genesis  28:10-32:3,Amos 2:6-3:8,Rom 9:1-31,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
7,5,Thursday,Vayetzei,He Went Out,ויצא,Genesis 30:28-31:16,https://www.sefaria.org/Genesis%2030%3A28-31%3A16?lang=bi,Genesis  28:10-32:3,Amos 2:6-3:8,Rom 9:1-31,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
7,6,Friday,Vayetzei,He Went Out,ויצא,Genesis 31:17-31:42,https://www.sefaria.org/Genesis%2031%3A17-31%3A42?lang=bi,Genesis  28:10-32:3,Amos 2:6-3:8,Rom 9:1-31,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
7,7,Saturday,Vayetzei,He Went Out,ויצא,Genesis 31:43-32:3,https://www.sefaria.org/Genesis%2031%3A43-32%3A3?lang=bi,Genesis  28:10-32:3,Amos 2:6-3:8,Rom 9:1-31,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
8,1,Sunday,Vayishlach,He Sent,וישלח,Genesis 32:4-32:13,https://www.sefaria.org/Genesis%2032%3A4-32%3A13?lang=bi,Genesis  32:4-36:43,I Ki 3:15-4:1,Jn 1:19-51,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
8,2,Monday,Vayishlach,He Sent,וישלח,Genesis 32:14-32:30,https://www.sefaria.org/Genesis%2032%3A14-32%3A30?lang=bi,Genesis  32:4-36:43,I Ki 3:15-4:1,Jn 1:19-51,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
8,3,Tuesday,Vayishlach,He Sent,וישלח,Genesis 32:31-33:5,https://www.sefaria.org/Genesis%2032%3A31-33%3A5?lang=bi,Genesis  32:4-36:43,I Ki 3:15-4:1,Jn 1:19-51,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
8,4,Wednesday,Vayishlach,He Sent,וישלח,Genesis 33:6-33:20,https://www.sefaria.org/Genesis%2033%3A6-33%3A20?lang=bi,Genesis  32:4-36:43,I Ki 3:15-4:1,Jn 1:19-51,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
8,5,Thursday,Vayishlach,He Sent,וישלח,Genesis 34:1-35:11,https://www.sefaria.org/Genesis%2034%3A1-35%3A11?lang=bi,Genesis  32:4-36:43,I Ki 3:15-4:1,Jn 1:19-51,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
8,6,Friday,Vayishlach,He Sent,וישלח,Genesis 35:12-36:19,https://www.sefaria.org/Genesis%2035%3A12-36%3A19?lang=bi,Genesis  32:4-36:43,I Ki 3:15-4:1,Jn 1:19-51,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
8,7,Saturday,Vayishlach,He Sent,וישלח,Genesis 36:20-36:43,https://www.sefaria.org/Genesis%2036%3A20-36%3A43?lang=bi,Genesis  32:4-36:43,I Ki 3:15-4:1,Jn 1:19-51,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
9,1,Sunday,Vayeshev,He Settled,וישב,Genesis 37:1-37:11,https://www.sefaria.org/Genesis%2037%3A1-37%3A11?lang=bi,Genesis  37:1-40:23,Ezek 37:15-37:28,Heb 11:11-20; Mt 26:36-46+,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
