week,portion_transliteration,title_english,title_hebrew,torah_reading,haftarah_prophets_writings,new_testament,english_week_page,hebrew_week_page,greek_week_page,tlv_link,kjv_link,wlc_hebrew_link,sblgnt_greek_link,apocrypha_link,companion_reading_source_url,source_note,torah_audio_english,torah_audio_hebrew,torah_audio_greek,prophets_audio_english,prophets_audio_hebrew,prophets_audio_greek,writings_audio_english,writings_audio_hebrew,writings_audio_greek,gospels_audio_english,gospels_audio_hebrew,gospels_audio_greek,letters_audio_english,letters_audio_hebrew,letters_audio_greek,revelation_audio_english,revelation_audio_hebrew,revelation_audio_greek,day1_sunday_reading,day1_sefaria_link,day2_monday_reading,day2_sefaria_link,day3_tuesday_reading,day3_sefaria_link,day4_wednesday_reading,day4_sefaria_link,day5_thursday_reading,day5_sefaria_link,day6_friday_reading,day6_sefaria_link,day7_saturday_reading,day7_sefaria_link
1,Bereshit,In the Beginning,בראשית,Genesis  1:1-6:8,Isa 42:5-43:11,John 1:1-14,scripture/english/week1.html,scripture/hebrew/week01.html,scripture/greek/week01.html,https://www.biblegateway.com/passage/?search=Genesis%201%3A1-6%3A8%3B%20Isa%2042%3A5-43%3A11%3B%20John%201%3A1-14&version=TLV,https://www.biblegateway.com/passage/?search=Genesis%201%3A1-6%3A8%3B%20Isa%2042%3A5-43%3A11%3B%20John%201%3A1-14&version=KJV,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=WLC,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=SBLGNT,https://www.kingjamesbibleonline.org/Apocrypha-Books/,,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal,https://audio.esv.org/hw/mq/01001001-01006008.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://audio.esv.org/hw/mq/01028010-01032002.mp3,https://audio.esv.org/hw/mq/23042005-23043010.mp3,https://mechon-mamre.org/mp3/t1054.mp3,https://audio.esv.org/hw/mq/01028010-01032002.mp3,http://audio.esvbible.org/hw/11011001-11011043.mp3,https://mechon-mamre.org/mp3/t1054.mp3,https://audio.esv.org/hw/mq/01028010-01032002.mp3,https://audio.esv.org/hw/mq/43001001-43001051.mp3,https://mechon-mamre.org/mp3/t1054.mp3,https://drive.google.com/file/d/0B_lI56V6nAYOc0xLd1VFTldPa1k/view?resourcekey=0-RB2ZnBJm7V2nita4GtgPcg,https://audio.esv.org/hw/mq/59001001-59002026.mp3,https://mechon-mamre.org/mp3/t1054.mp3,http://www.helding.net/greeklatinaudio/greek/colossians/eph02g.mp3,http://audio.esvbible.org/hw/66021001-66021015.mp3,https://mechon-mamre.org/mp3/t1054.mp3,http://www.helding.net/greeklatinaudio/greek/revelation/rev07g.mp3,Genesis 1:1-2:3,https://www.sefaria.org/Genesis%201%3A1-2%3A3?lang=bi,Genesis 2:4-2:19,https://www.sefaria.org/Genesis%202%3A4-2%3A19?lang=bi,Genesis 2:20-3:21,https://www.sefaria.org/Genesis%202%3A20-3%3A21?lang=bi,Genesis 3:22-4:18,https://www.sefaria.org/Genesis%203%3A22-4%3A18?lang=bi,Genesis 4:19-4:22,https://www.sefaria.org/Genesis%204%3A19-4%3A22?lang=bi,Genesis 4:23-5:24,https://www.sefaria.org/Genesis%204%3A23-5%3A24?lang=bi,Genesis 5:25-6:8,https://www.sefaria.org/Genesis%205%3A25-6%3A8?lang=bi
2,Noach,Noah,נח,Genesis  6:9-11:32,Isa 40:27-41:16,Mt 24:36-46; 1 Pet 3:18-22,scripture/english/week2.html,scripture/hebrew/week02.html,scripture/greek/week02.html,https://www.biblegateway.com/passage/?search=Genesis%206%3A9-11%3A32%3B%20Isa%2040%3A27-41%3A16%3B%20Mt%2024%3A36-46%3B%C2%A01%20Pet%203%3A18-22&version=TLV,https://www.biblegateway.com/passage/?search=Genesis%206%3A9-11%3A32%3B%20Isa%2040%3A27-41%3A16%3B%20Mt%2024%3A36-46%3B%C2%A01%20Pet%203%3A18-22&version=KJV,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=WLC,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=SBLGNT,https://www.kingjamesbibleonline.org/Apocrypha-Books/,,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal,https://audio.esvbible.org/hw/01006009-01011032.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://audio.esv.org/hw/mq/01028010-01032002.mp3,http://audio.esvbible.org/hw/23054001-23055005.mp3,https://mechon-mamre.org/mp3/t1054.mp3,https://audio.esv.org/hw/mq/01028010-01032002.mp3,http://audio.esvbible.org/hw/11011001-11011043.mp3,https://mechon-mamre.org/mp3/t1054.mp,https://audio.esv.org/hw/mq/01028010-01032002.mp3,https://audio.esv.org/hw/mq/40003001-40004025.mp3,https://mechon-mamre.org/mp3/t1054.mp,https://drive.google.com/file/d/0B_lI56V6nAYOc0xLd1VFTldPa1k/view?resourcekey=0-RB2ZnBJm7V2nita4GtgPcg,https://audio.esvbible.org/hw/51002001-51002023.mp3,https://mechon-mamre.org/mp3/t1054.mp,http://www.helding.net/greeklatinaudio/greek/colossians/eph02g.mp3,https://audio.esvbible.org/hw/66021001-66021015.mp3,https://mechon-mamre.org/mp3/t1054.mp,http://www.helding.net/greeklatinaudio/greek/revelation/rev07g.mp3,Genesis 6:9-6:22,https://www.sefaria.org/Genesis%206%3A9-6%3A22?lang=bi,Genesis 7:1-7:16,https://www.sefaria.org/Genesis%207%3A1-7%3A16?lang=bi,Genesis 7:17-8:14,https://www.sefaria.org/Genesis%207%3A17-8%3A14?lang=bi,Genesis 8:15-9:7,https://www.sefaria.org/Genesis%208%3A15-9%3A7?lang=bi,Genesis 9:8-9:17,https://www.sefaria.org/Genesis%209%3A8-9%3A17?lang=bi,Genesis 9:18-10:32,https://www.sefaria.org/Genesis%209%3A18-10%3A32?lang=bi,Genesis 11:1-11:32,https://www.sefaria.org/Genesis%2011%3A1-11%3A32?lang=bi
3,Lech-Lecha,Go Forth,לך לך,Genesis  12:1-17:27,II Ki 4:1-37,Rom 4:1-25,scripture/english/week3.html,scripture/hebrew/week03.html,scripture/greek/week03.html,https://www.biblegateway.com/passage/?search=Genesis%2012%3A1-17%3A27%3B%20II%20Ki%204%3A1-37%3B%20Rom%204%3A1-25&version=TLV,https://www.biblegateway.com/passage/?search=Genesis%2012%3A1-17%3A27%3B%20II%20Ki%204%3A1-37%3B%20Rom%204%3A1-25&version=KJV,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=WLC,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=SBLGNT,https://www.kingjamesbibleonline.org/Apocrypha-Books/,,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal,,,,,,,,,,,,,,,,,,,Genesis 12:1-12:13,https://www.sefaria.org/Genesis%2012%3A1-12%3A13?lang=bi,Genesis 12:14-13:4,https://www.sefaria.org/Genesis%2012%3A14-13%3A4?lang=bi,Genesis 13:5-13:18,https://www.sefaria.org/Genesis%2013%3A5-13%3A18?lang=bi,Genesis 14:1-14:20,https://www.sefaria.org/Genesis%2014%3A1-14%3A20?lang=bi,Genesis 14:21-15:6,https://www.sefaria.org/Genesis%2014%3A21-15%3A6?lang=bi,Genesis 15:7-17:6,https://www.sefaria.org/Genesis%2015%3A7-17%3A6?lang=bi,Genesis 17:7-17:27,https://www.sefaria.org/Genesis%2017%3A7-17%3A27?lang=bi
4,Vayera,He Appeared,וירא,Genesis  18:1-22:24,I Ki 1:1-31,Lk 1:26-38; 24:36-53; 2 Pet. 2:4-11,scripture/english/week4.html,scripture/hebrew/week04.html,scripture/greek/week04.html,https://www.biblegateway.com/passage/?search=Genesis%2018%3A1-22%3A24%3B%20I%20Ki%201%3A1-31%3B%20Lk%201%3A26-38%3B%2024%3A36-53%3B%202%20Pet.%202%3A4-11&version=TLV,https://www.biblegateway.com/passage/?search=Genesis%2018%3A1-22%3A24%3B%20I%20Ki%201%3A1-31%3B%20Lk%201%3A26-38%3B%2024%3A36-53%3B%202%20Pet.%202%3A4-11&version=KJV,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=WLC,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=SBLGNT,https://www.kingjamesbibleonline.org/Apocrypha-Books/,,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal,http://audio.esvbible.org/hw/01047028-01050026,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,http://audio.esvbible.org/hw/11002001-11002012.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,,,,"http://audio.esvbible.org/hw/43013001-43013038.mp3,44001001-44001026.mp3",https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,http://audio.esvbible.org/hw/58007001-58007028.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,,,,Genesis 18:1-18:14,https://www.sefaria.org/Genesis%2018%3A1-18%3A14?lang=bi,Genesis 18:15-18:33,https://www.sefaria.org/Genesis%2018%3A15-18%3A33?lang=bi,Genesis 19:1-19:20,https://www.sefaria.org/Genesis%2019%3A1-19%3A20?lang=bi,Genesis 19:21-21:4,https://www.sefaria.org/Genesis%2019%3A21-21%3A4?lang=bi,Genesis 21:5-21:21,https://www.sefaria.org/Genesis%2021%3A5-21%3A21?lang=bi,Genesis 21:22-21:34,https://www.sefaria.org/Genesis%2021%3A22-21%3A34?lang=bi,Genesis 22:1-22:24,https://www.sefaria.org/Genesis%2022%3A1-22%3A24?lang=bi
5,Chayei Sara,Life of Sarah,חיי שרה,Genesis  23:1-25:18,Hos 12:13-14:10,Mt 1:1-17;,scripture/english/week5.html,scripture/hebrew/week05.html,scripture/greek/week05.html,https://www.biblegateway.com/passage/?search=Genesis%2023%3A1-25%3A18%3B%20Hos%2012%3A13-14%3A10%3B%20Mt%201%3A1-17%3B&version=TLV,https://www.biblegateway.com/passage/?search=Genesis%2023%3A1-25%3A18%3B%20Hos%2012%3A13-14%3A10%3B%20Mt%201%3A1-17%3B&version=KJV,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=WLC,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=SBLGNT,https://www.kingjamesbibleonline.org/Apocrypha-Books/,,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal; Transliteration standardized from PWA Chayei Sarah to Hebcal Chayei Sara,http://audio.esvbible.org/hw/01023001-01025018.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,http://audio.esvbible.org/hw/24031001-24031039.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,,,,http://audio.esvbible.org/hw/41002001-41002028.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,https://audio.esv.org/hw/60003001-60003022.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,,,,Genesis 23:1-23:16,https://www.sefaria.org/Genesis%2023%3A1-23%3A16?lang=bi,Genesis 23:17-24:9,https://www.sefaria.org/Genesis%2023%3A17-24%3A9?lang=bi,Genesis 24:10-24:26,https://www.sefaria.org/Genesis%2024%3A10-24%3A26?lang=bi,Genesis 24:27-24:52,https://www.sefaria.org/Genesis%2024%3A27-24%3A52?lang=bi,Genesis 24:53-24:67,https://www.sefaria.org/Genesis%2024%3A53-24%3A67?lang=bi,Genesis 25:1-25:11,https://www.sefaria.org/Genesis%2025%3A1-25%3A11?lang=bi,Genesis 25:12-25:18,https://www.sefaria.org/Genesis%2025%3A12-25%3A18?lang=bi
6,Toldot,Generations,תולדות,Genesis  25:19-28:9,Obadiah 1:1-21,1 Cor 15:50-57,scripture/english/week6.html,scripture/hebrew/week06.html,scripture/greek/week06.html,https://www.biblegateway.com/passage/?search=Genesis%2025%3A19-28%3A9%3B%20Obadiah%201%3A1-21%3B%201%20Cor%2015%3A50-57&version=TLV,https://www.biblegateway.com/passage/?search=Genesis%2025%3A19-28%3A9%3B%20Obadiah%201%3A1-21%3B%201%20Cor%2015%3A50-57&version=KJV,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=WLC,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=SBLGNT,https://www.kingjamesbibleonline.org/Apocrypha-Books/,,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal; Transliteration standardized from Toledot to Toldot; Hebrew niqqud removed,http://audio.esvbible.org/hw/01025019-01028009.mp3,http://mechon-mamre.org/mp3/t0521.mp3,http://audio.esv.org/hw/mq/01028010-01032002.mp3,https://audio.esv.org/hw/mq/28012012-28014009.mp3,,,http://audio.esvbible.org/hw/13016001-13016043.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://audio.esv.org/hw/mq/01028010-01032002.mp3,http://audio.esvbible.org/hw/41003001-41003035.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://audio.esv.org/hw/mq/01028010-01032002.mp3,https://audio.esv.org/hw/45010001-45010021.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://audio.esv.org/hw/mq/01028010-01032002.mp3,http://audio.esvbible.org/hw/66007001-66007017.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://audio.esv.org/hw/mq/01028010-01032002.mp3,Genesis 25:19-26:5,https://www.sefaria.org/Genesis%2025%3A19-26%3A5?lang=bi,Genesis 26:6-26:12,https://www.sefaria.org/Genesis%2026%3A6-26%3A12?lang=bi,Genesis 26:13-26:22,https://www.sefaria.org/Genesis%2026%3A13-26%3A22?lang=bi,Genesis 26:23-26:29,https://www.sefaria.org/Genesis%2026%3A23-26%3A29?lang=bi,Genesis 26:30-27:27,https://www.sefaria.org/Genesis%2026%3A30-27%3A27?lang=bi,Genesis 27:28-28:4,https://www.sefaria.org/Genesis%2027%3A28-28%3A4?lang=bi,Genesis 28:5-28:9,https://www.sefaria.org/Genesis%2028%3A5-28%3A9?lang=bi
7,Vayetzei,He Went Out,ויצא,Genesis  28:10-32:3,Amos 2:6-3:8,Rom 9:1-31,scripture/english/week7.html,scripture/hebrew/week07.html,scripture/greek/week07.html,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=TLV,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=KJV,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=WLC,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=SBLGNT,https://www.kingjamesbibleonline.org/Apocrypha-Books/,,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal,https://audio.esv.org/hw/mq/01028010-01032002.mp3,,,https://audio.esv.org/hw/mq/28012012-28014009.mp3,,,,,,https://audio.esv.org/hw/mq/40003001-40004025.mp3,,,https://audio.esv.org/hw/mq/59001001-59002026.mp3,,,,,,Genesis 28:10-28:22,https://www.sefaria.org/Genesis%2028%3A10-28%3A22?lang=bi,Genesis 29:1-29:17,https://www.sefaria.org/Genesis%2029%3A1-29%3A17?lang=bi,Genesis 29:18-30:13,https://www.sefaria.org/Genesis%2029%3A18-30%3A13?lang=bi,Genesis 30:14-30:27,https://www.sefaria.org/Genesis%2030%3A14-30%3A27?lang=bi,Genesis 30:28-31:16,https://www.sefaria.org/Genesis%2030%3A28-31%3A16?lang=bi,Genesis 31:17-31:42,https://www.sefaria.org/Genesis%2031%3A17-31%3A42?lang=bi,Genesis 31:43-32:3,https://www.sefaria.org/Genesis%2031%3A43-32%3A3?lang=bi
8,Vayishlach,He Sent,וישלח,Genesis  32:4-36:43,I Ki 3:15-4:1,Jn 1:19-51,scripture/english/week8.html,scripture/hebrew/week08.html,scripture/greek/week08.html,https://www.biblegateway.com/passage/?search=Genesis%2032%3A4-36%3A43%3B%20I%20Ki%203%3A15-4%3A1%3B%20Jn%201%3A19-51&version=TLV,https://www.biblegateway.com/passage/?search=Genesis%2032%3A4-36%3A43%3B%20I%20Ki%203%3A15-4%3A1%3B%20Jn%201%3A19-51&version=KJV,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=WLC,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=SBLGNT,https://www.kingjamesbibleonline.org/Apocrypha-Books/,,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal,https://audio.esv.org/hw/mq/01032003-01036043.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,"https://audio.esv.org/hw/mq/28011007-28012012,31001001-31001021.mp3",https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,,,,https://audio.esv.org/hw/mq/40002001-40002023.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,https://audio.esv.org/hw/mq/60001001-60001025.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,,,,Genesis 32:4-32:13,https://www.sefaria.org/Genesis%2032%3A4-32%3A13?lang=bi,Genesis 32:14-32:30,https://www.sefaria.org/Genesis%2032%3A14-32%3A30?lang=bi,Genesis 32:31-33:5,https://www.sefaria.org/Genesis%2032%3A31-33%3A5?lang=bi,Genesis 33:6-33:20,https://www.sefaria.org/Genesis%2033%3A6-33%3A20?lang=bi,Genesis 34:1-35:11,https://www.sefaria.org/Genesis%2034%3A1-35%3A11?lang=bi,Genesis 35:12-36:19,https://www.sefaria.org/Genesis%2035%3A12-36%3A19?lang=bi,Genesis 36:20-36:43,https://www.sefaria.org/Genesis%2036%3A20-36%3A43?lang=bi
9,Vayeshev,He Settled,וישב,Genesis  37:1-40:23,Ezek 37:15-37:28,Heb 11:11-20; Mt 26:36-46+,scripture/english/week9.html,scripture/hebrew/week09.html,scripture/greek/week09.html,https://www.biblegateway.com/passage/?search=Genesis%2025%3A19-28%3A9%3B%20Obadiah%201%3A1-21%3B%201%20Cor%2015%3A50-57&version=TLV,https://www.biblegateway.com/passage/?search=Genesis%2025%3A19-28%3A9%3B%20Obadiah%201%3A1-21%3B%201%20Cor%2015%3A50-57&version=KJV,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=WLC,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=SBLGNT,https://www.kingjamesbibleonline.org/Apocrypha-Books/,,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal,http://audio.esvbible.org/hw/mq/01037001-01040023.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,http://audio.esvbible.org/hw/mq/30002001-30003015.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,,,,http://audio.esvbible.org/hw/mq/43003001-43004054.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,http://audio.esvbible.org/hw/mq/46012001-46013013.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,,,,Genesis 37:1-37:11,https://www.sefaria.org/Genesis%2037%3A1-37%3A11?lang=bi,Genesis 37:12-37:22,https://www.sefaria.org/Genesis%2037%3A12-37%3A22?lang=bi,Genesis 37:23-37:36,https://www.sefaria.org/Genesis%2037%3A23-37%3A36?lang=bi,Genesis 38:1-38:30,https://www.sefaria.org/Genesis%2038%3A1-38%3A30?lang=bi,Genesis 39:1-39:6,https://www.sefaria.org/Genesis%2039%3A1-39%3A6?lang=bi,Genesis 39:7-39:23,https://www.sefaria.org/Genesis%2039%3A7-39%3A23?lang=bi,Genesis 40:1-40:23,https://www.sefaria.org/Genesis%2040%3A1-40%3A23?lang=bi
10,Miketz,At the End,מקץ,Genesis  41:1-44:17,I Ki 2:1-12,"Mt 1:1-6, 16-25",scripture/english/week10.html,scripture/hebrew/week10.html,scripture/greek/week10.html,https://www.biblegateway.com/passage/?search=Genesis%2041%3A1-44%3A17%3B%20I%20Ki%202%3A1-12%3B%20Mt%201%3A1-6%2C%2016-25&version=TLV,https://www.biblegateway.com/passage/?search=Genesis%2041%3A1-44%3A17%3B%20I%20Ki%202%3A1-12%3B%20Mt%201%3A1-6%2C%2016-25&version=KJV,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=WLC,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=SBLGNT,https://www.kingjamesbibleonline.org/Apocrypha-Books/,,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal,http://audio.esvbible.org/hw/01041001-01044017.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,http://audio.esvbible.org/hw/38002014-38004007.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,,,,http://audio.esvbible.org/hw/42004001-42004044.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,http://audio.esvbible.org/hw/45009001-45011036.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,,,,Genesis 41:1-41:14,https://www.sefaria.org/Genesis%2041%3A1-41%3A14?lang=bi,Genesis 41:15-41:38,https://www.sefaria.org/Genesis%2041%3A15-41%3A38?lang=bi,Genesis 41:39-41:52,https://www.sefaria.org/Genesis%2041%3A39-41%3A52?lang=bi,Genesis 41:53-42:18,https://www.sefaria.org/Genesis%2041%3A53-42%3A18?lang=bi,Genesis 42:19-43:15,https://www.sefaria.org/Genesis%2042%3A19-43%3A15?lang=bi,Genesis 43:16-43:29,https://www.sefaria.org/Genesis%2043%3A16-43%3A29?lang=bi,Genesis 43:30-44:17,https://www.sefaria.org/Genesis%2043%3A30-44%3A17?lang=bi
